"Term","Participant.Code","Question_number","Question_text","Pre","Post"
"2022_1",12,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",2,4
"2022_1",12,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",3,4
"2022_1",12,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",2,4
"2022_1",12,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",2,4
"2022_1",12,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",3,4
"2022_1",12,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",2,4
"2022_1",12,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",2,4
"2022_1",12,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",2,4
"2022_1",12,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",2,3
"2022_1",12,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",2,3
"2022_1",12,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",1,3
"2022_1",12,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",5,5
"2022_1",12,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2022_1",12,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",5,5
"2022_1",12,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,5
"2022_1",12,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,5
"2022_1",12,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2022_1",12,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",4,4
"2022_1",13,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,4
"2022_1",13,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",3,4
"2022_1",13,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",3,4
"2022_1",13,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,5
"2022_1",13,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,4
"2022_1",13,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",4,4
"2022_1",13,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",4,4
"2022_1",13,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",4,4
"2022_1",13,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",4,4
"2022_1",13,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",1,4
"2022_1",13,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",4,4
"2022_1",13,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",4,4
"2022_1",13,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",2,5
"2022_1",13,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",3,4
"2022_1",13,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",2,5
"2022_1",13,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,5
"2022_1",13,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,5
"2022_1",13,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",5,5
"2022_1",13,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2022_1",13,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,5
"2022_1",13,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2022_1",13,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",3,4
"2022_1",14,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,4
"2022_1",14,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",3,4
"2022_1",14,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",3,5
"2022_1",14,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,5
"2022_1",14,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",2,3
"2022_1",14,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",4,5
"2022_1",14,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",4,5
"2022_1",14,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",4,4
"2022_1",14,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",2,3
"2022_1",14,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",1,3
"2022_1",14,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",2,4
"2022_1",14,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",2,4
"2022_1",14,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",2,4
"2022_1",14,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",2,4
"2022_1",14,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",1,3
"2022_1",14,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",3,4
"2022_1",14,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",3,4
"2022_1",14,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",3,5
"2022_1",14,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",3,5
"2022_1",14,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",3,5
"2022_1",14,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",3,4
"2022_1",14,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",2,4
"2023_1",1,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,4
"2023_1",1,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",3,4
"2023_1",1,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",3,4
"2023_1",1,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,3
"2023_1",1,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,4
"2023_1",1,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",3,3
"2023_1",1,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",2,3
"2023_1",1,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,4
"2023_1",1,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",3,4
"2023_1",1,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",3,4
"2023_1",1,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",3,3
"2023_1",1,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",3,4
"2023_1",1,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",3,4
"2023_1",1,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",3,3
"2023_1",1,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",3,4
"2023_1",1,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2023_1",1,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2023_1",1,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,4
"2023_1",1,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2023_1",1,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,NA
"2023_1",1,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,5
"2023_1",1,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",3,5
"2023_1",15,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,4
"2023_1",15,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",3,3
"2023_1",15,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",3,3
"2023_1",15,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,3
"2023_1",15,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,4
"2023_1",15,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",3,4
"2023_1",15,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",3,3
"2023_1",15,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,3
"2023_1",15,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",3,5
"2023_1",15,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",3,5
"2023_1",15,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",3,4
"2023_1",15,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",3,4
"2023_1",15,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",3,4
"2023_1",15,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",3,4
"2023_1",15,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",3,3
"2023_1",15,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",5,5
"2023_1",15,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",5,5
"2023_1",15,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",5,5
"2023_1",15,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",5,4
"2023_1",15,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",5,5
"2023_1",15,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",5,5
"2023_1",15,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",5,4
"2023_1",2,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,4
"2023_1",2,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",3,3
"2023_1",2,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",4,4
"2023_1",2,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,3
"2023_1",2,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,4
"2023_1",2,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",3,3
"2023_1",2,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",3,3
"2023_1",2,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,3
"2023_1",2,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",3,3
"2023_1",2,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",3,3
"2023_1",2,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",3,3
"2023_1",2,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",4,4
"2023_1",2,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",4,3
"2023_1",2,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",3,3
"2023_1",2,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",3,3
"2023_1",2,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2023_1",2,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2023_1",2,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,4
"2023_1",2,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2023_1",2,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2023_1",2,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2023_1",2,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",4,4
"2023_1",16,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",4,4
"2023_1",16,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",3,4
"2023_1",16,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",4,4
"2023_1",16,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",4,4
"2023_1",16,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",4,4
"2023_1",16,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",5,5
"2023_1",16,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",4,4
"2023_1",16,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,5
"2023_1",16,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",4,5
"2023_1",16,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",4,4
"2023_1",16,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",4,5
"2023_1",16,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",4,5
"2023_1",16,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",5,5
"2023_1",16,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",4,5
"2023_1",16,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",4,5
"2023_1",16,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2023_1",16,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",5,5
"2023_1",16,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",5,5
"2023_1",16,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",5,5
"2023_1",16,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,5
"2023_1",16,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2023_1",16,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",4,5
"2023_1",17,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,4
"2023_1",17,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",4,4
"2023_1",17,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",4,4
"2023_1",17,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",4,4
"2023_1",17,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,4
"2023_1",17,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",4,4
"2023_1",17,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",3,4
"2023_1",17,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,4
"2023_1",17,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",4,4
"2023_1",17,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",2,3
"2023_1",17,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",4,4
"2023_1",17,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",4,4
"2023_1",17,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",4,4
"2023_1",17,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",4,4
"2023_1",17,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",3,4
"2023_1",17,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2023_1",17,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",5,5
"2023_1",17,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",5,5
"2023_1",17,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2023_1",17,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2023_1",17,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,4
"2023_1",17,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",4,4
"2023_1",9,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",4,4
"2023_1",9,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",3,4
"2023_1",9,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",4,5
"2023_1",9,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",4,4
"2023_1",9,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,4
"2023_1",9,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",3,4
"2023_1",9,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",3,3
"2023_1",9,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,4
"2023_1",9,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",4,4
"2023_1",9,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",3,4
"2023_1",9,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",4,4
"2023_1",9,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",4,4
"2023_1",9,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",3,4
"2023_1",9,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",3,3
"2023_1",9,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",3,4
"2023_1",9,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2023_1",9,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",4,4
"2023_1",9,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,5
"2023_1",9,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2023_1",9,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2023_1",9,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,5
"2023_1",9,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",3,4
"2023_1",18,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,3
"2023_1",18,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",2,4
"2023_1",18,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",4,4
"2023_1",18,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",4,4
"2023_1",18,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",4,4
"2023_1",18,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",4,4
"2023_1",18,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",2,4
"2023_1",18,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",2,4
"2023_1",18,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",2,4
"2023_1",18,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",1,3
"2023_1",18,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",3,3
"2023_1",18,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",2,4
"2023_1",18,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",2,4
"2023_1",18,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",2,4
"2023_1",18,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",1,3
"2023_1",18,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2023_1",18,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",2,4
"2023_1",18,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",4,4
"2023_1",18,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2023_1",18,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",4,4
"2023_1",18,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",2,4
"2023_1",18,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",2,4
"2023_1",19,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,4
"2023_1",19,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",4,5
"2023_1",19,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",4,4
"2023_1",19,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",3,5
"2023_1",19,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",3,5
"2023_1",19,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",4,5
"2023_1",19,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",2,4
"2023_1",19,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",3,5
"2023_1",19,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",4,4
"2023_1",19,"Q13_2","How.much.do.you.know.about.the.following....Reverse.instructional.design.as.a.specific.form.of.instructional.design.",2,4
"2023_1",19,"Q14_1","How.much.do.you.know.about.the.following....Defining.strong.and.effective.learning.objectives.",4,5
"2023_1",19,"Q14_2","How.much.do.you.know.about.the.following....Creating.active.learning.assignments.or.opportunities.",4,5
"2023_1",19,"Q15_1","How.much.do.you.know.about.the.following....The.difference.between.formative.and.summative.assessments.",3,5
"2023_1",19,"Q15_2","How.much.do.you.know.about.the.following....How.to.design.and.assessments.to.understand.student.learning.",3,4
"2023_1",19,"Q15_3","How.much.do.you.know.about.the.following....How.to.do.formative.assessment.in.data.science.instruction.",2,5
"2023_1",19,"Q16_1","How.competent.do.you.feel.in.relation.to.the.following....Providing.constructive.feedback.to.students.",4,4
"2023_1",19,"Q16_2","How.competent.do.you.feel.in.relation.to.the.following....Effectively.motivating.students.",NA,5
"2023_1",19,"Q16_3","How.competent.do.you.feel.in.relation.to.the.following....Creating.a.positive.learning.environment.",5,5
"2023_1",19,"Q16_4","How.competent.do.you.feel.in.relation.to.the.following....Creating.an.inclusive.learning.environment.",4,4
"2023_1",19,"Q16_5","How.competent.do.you.feel.in.relation.to.the.following....Defining.learning.objectives.",5,5
"2023_1",19,"Q16_6","How.competent.do.you.feel.in.relation.to.the.following....Creating.active.learning.assignments.or.activities.that.are.effective.",4,5
"2023_1",19,"Q16_7","How.competent.do.you.feel.in.relation.to.the.following....Creating.formative.assessments.",4,4
"2023_1",14,"Q09","How.knowledgeable.are.you.regarding.best.pedagogical.practices.",3,3
"2023_1",14,"Q10_1","How.much.do.you.know.about.the.following....The.role.memory.plays.in.shaping.if.and.how.students.learn.",2,4
"2023_1",14,"Q10_2","How.much.do.you.know.about.the.following....The.role.of.practice.in.skills.development.",4,5
"2023_1",14,"Q10_3","How.much.do.you.know.about.the.following....The.role.of.feedback.in.skills.development",4,5
"2023_1",14,"Q11_1","How.much.do.you.know.about.the.following....Equity..inclusion..and.accessibility.as.it.relates.to.teaching.and.learning.",2,3
"2023_1",14,"Q12_1","How.much.do.you.know.about.the.following....Motivation.and.the.role.it.plays.in.learning.",4,5
"2023_1",14,"Q12_2","How.much.do.you.know.about.the.following....Demotivation.and.the.role.it.plays.in.learning",4,5
"2023_1",14,"Q12_3","How.much.do.you.know.about.the.following....How.to.motivate.students.",4,3
"2023_1",14,"Q13_1","How.much.do.you.know.about.the.following....Instructional.design.practices.",2,3
